team,name,role
CSK,Ruturaj Gaikwad,BAT
CSK,Dewald Brevis,BAT
CSK,MS Dhoni,WK
CSK,Kartik Sharma,WK
CSK,Sarfaraz Khan,BAT
CSK,Ayush Mhatre,BAT
CSK,Urvil Patel,WK
CSK,Sanju Samson,WK
CSK,Aman Khan,AR
CSK,Shivam Dube,AR
CSK,Zak Foulkes,AR
CSK,Ramakrishna Ghosh,AR
CSK,Anshul Kamboj,AR
CSK,Jamie Overton,AR
CSK,Matthew Short,AR
CSK,Prashant Veer,AR
CSK,Khaleel Ahmed,BOWL
CSK,Rahul Chahar,BOWL
CSK,Shreyas Gopal,BOWL
CSK,Gurjapneet Singh,BOWL
CSK,Matt Henry,BOWL
CSK,Akeal Hosein,BOWL
CSK,Mukesh Choudhary,BOWL
CSK,Noor Ahmad,BOWL
CSK,Nathan Ellis,BOWL

DC,Abishek Porel,WK
DC,Ben Duckett,WK
DC,David Miller,BAT
DC,Karun Nair,BAT
DC,Pathum Nissanka,BAT
DC,Sahil Parakh,BAT
DC,KL Rahul,WK
DC,Nitish Rana,BAT
DC,Prithvi Shaw,BAT
DC,Tristan Stubbs,WK
DC,Axar Patel,AR
DC,Ajay Mandal,AR
DC,Sameer Rizvi,AR
DC,Ashutosh Sharma,AR
DC,Madhav Tiwari,AR
DC,Auqib Nabi,BOWL
DC,Dushmantha Chameera,BOWL
DC,Kyle Jamieson,BOWL
DC,Kuldeep Yadav,BOWL
DC,Mukesh Kumar,BOWL
DC,T Natarajan,BOWL
DC,Lungi Ngidi,BOWL
DC,Vipraj Nigam,BOWL
DC,Mitchell Starc,BOWL
DC,Tripurana Vijay,BOWL

GT,Shubman Gill,BAT
GT,Anuj Rawat,WK
GT,Tom Banton,WK
GT,Jos Buttler,WK
GT,Kumar Kushagra,WK
GT,Sai Sudharsan,BAT
GT,M Shahrukh Khan,BAT
GT,Jason Holder,AR
GT,Glenn Phillips,AR
GT,Rashid Khan,AR
GT,Nishant Sindhu,AR
GT,Manav Suthar,AR
GT,Rahul Tewatia,AR
GT,Washington Sundar,AR
GT,Arshad Khan,BOWL
GT,Ashok Sharma,BOWL
GT,Gurnoor Brar,BOWL
GT,Mohammed Siraj,BOWL
GT,Prasidh Krishna,BOWL
GT,Prithvi Raj,BOWL
GT,Kagiso Rabada,BOWL
GT,Sai Kishore,BOWL
GT,Ishant Sharma,BOWL
GT,Luke Wood,BOWL
GT,Jayant Yadav,BOWL

KKR,Ajinkya Rahane,BAT
KKR,Finn Allen,BAT
KKR,Tejasvi Dahiya,WK
KKR,Manish Pandey,BAT
KKR,Rovman Powell,BAT
KKR,Angkrish Raghuvanshi,BAT
KKR,Ramandeep Singh,BAT
KKR,Sarthak Ranjan,BAT
KKR,Tim Seifert,WK
KKR,Rinku Singh,BAT
KKR,Rahul Tripathi,BAT
KKR,Daksh Kamra,AR
KKR,Cameron Green,AR
KKR,Sunil Narine,AR
KKR,Rachin Ravindra,AR
KKR,Anukul Roy,AR
KKR,Akash Deep,BOWL
KKR,Vaibhav Arora,BOWL
KKR,Harshit Rana,BOWL
KKR,Kartik Tyagi,BOWL
KKR,Blessing Muzarabani,BOWL
KKR,Matheesha Pathirana,BOWL
KKR,Prashant Solanki,BOWL
KKR,Umran Malik,BOWL
KKR,Varun Chakravarthy,BOWL
KKR,Mustafizur Rahman,BOWL

LSG,Rishabh Pant,WK
LSG,Abdul Samad,BAT
LSG,Akshat Raghuwanshi,BAT
LSG,Ayush Badoni,BAT
LSG,Matthew Breetzke,BAT
LSG,Mukul Choudhary,BAT
LSG,Himmat Singh,BAT
LSG,Josh Inglis,WK
LSG,Aiden Markram,BAT
LSG,Nicholas Pooran,WK
LSG,Wanindu Hasaranga,AR
LSG,Arshin Kulkarni,AR
LSG,Mitchell Marsh,AR
LSG,Shahbaz Ahmed,AR
LSG,Akash Singh,BOWL
LSG,Avesh Khan,BOWL
LSG,Mohammed Shami,BOWL
LSG,Mohsin Khan,BOWL
LSG,Anrich Nortje,BOWL
LSG,Prince Yadav,BOWL
LSG,Digvesh Rathi,BOWL
LSG,Manimaran Siddharth,BOWL
LSG,Arjun Tendulkar,BOWL
LSG,Naman Tiwari,BOWL
LSG,Mayank Yadav,BOWL

MI,Quinton de Kock,WK
MI,Danish Malewar,BAT
MI,Robin Minz,WK
MI,Ryan Rickelton,WK
MI,Sherfane Rutherford,BAT
MI,Rohit Sharma,BAT
MI,Suryakumar Yadav,BAT
MI,Hardik Pandya,AR
MI,Atharva Ankolekar,AR
MI,Raj Bawa,AR
MI,Corbin Bosch,AR
MI,Will Jacks,AR
MI,Mayank Rawat,AR
MI,Naman Dhir,AR
MI,Mitchell Santner,AR
MI,Shardul Thakur,AR
MI,Tilak Varma,AR
MI,Ashwani Kumar,BOWL
MI,Trent Boult,BOWL
MI,Jasprit Bumrah,BOWL
MI,Deepak Chahar,BOWL
MI,AM Ghazanfar,BOWL
MI,Mayank Markande,BOWL
MI,Mohd Izhar,BOWL
MI,Raghu Sharma,BOWL

PBKS,Shreyas Iyer,BAT
PBKS,Priyansh Arya,BAT
PBKS,Pyla Avinash,BAT
PBKS,Harnoor Singh,BAT
PBKS,Prabhsimran Singh,WK
PBKS,Vishnu Vinod,WK
PBKS,Nehal Wadhera,BAT
PBKS,Azmatullah Omarzai,AR
PBKS,Cooper Connolly,AR
PBKS,Marco Jansen,AR
PBKS,Musheer Khan,AR
PBKS,Mitchell Owen,AR
PBKS,Shashank Singh,AR
PBKS,Marcus Stoinis,AR
PBKS,Suryansh Shedge,AR
PBKS,Arshdeep Singh,BOWL
PBKS,Xavier Bartlett,BOWL
PBKS,Yuzvendra Chahal,BOWL
PBKS,Praveen Dubey,BOWL
PBKS,Ben Dwarshuis,BOWL
PBKS,Lockie Ferguson,BOWL
PBKS,Harpreet Brar,BOWL
PBKS,Vishal Nishad,BOWL
PBKS,Vijaykumar Vyshak,BOWL
PBKS,Yash Thakur,BOWL

RR,Aman Rao,BAT
RR,Shubham Dubey,BAT
RR,Shimron Hetmyer,BAT
RR,Yashasvi Jaiswal,BAT
RR,Dhruv Jurel,WK
RR,Riyan Parag,BAT
RR,Lhuan-dre Pretorius,WK
RR,Ravi Singh,BAT
RR,Vaibhav Sooryavanshi,BAT
RR,Donovan Ferreira,AR
RR,Ravindra Jadeja,AR
RR,Sam Curran,AR
RR,Jofra Archer,BOWL
RR,Brijesh Sharma,BOWL
RR,Nandre Burger,BOWL
RR,Tushar Deshpande,BOWL
RR,Kwena Maphaka,BOWL
RR,Adam Milne,BOWL
RR,Sushant Mishra,BOWL
RR,Vignesh Puthur,BOWL
RR,Ravi Bishnoi,BOWL
RR,Sandeep Sharma,BOWL
RR,Kuldeep Sen,BOWL
RR,Yash Raj Punja,BOWL
RR,Yudhvir Singh,BOWL

RCB,Rajat Patidar,BAT
RCB,Jordan Cox,WK
RCB,Tim David,BAT
RCB,Virat Kohli,BAT
RCB,Devdutt Padikkal,BAT
RCB,Phil Salt,WK
RCB,Jitesh Sharma,WK
RCB,Jacob Bethell,AR
RCB,Kanishk Chouhan,AR
RCB,Venkatesh Iyer,AR
RCB,Vihaan Malhotra,AR
RCB,Mangesh Yadav,AR
RCB,Krunal Pandya,AR
RCB,Romario Shepherd,AR
RCB,Abhinandan Singh,BOWL
RCB,Satvik Deswal,BOWL
RCB,Jacob Duffy,BOWL
RCB,Josh Hazlewood,BOWL
RCB,Bhuvneshwar Kumar,BOWL
RCB,Vicky Ostwal,BOWL
RCB,Rasikh Salam,BOWL
RCB,Suyash Sharma,BOWL
RCB,Swapnil Singh,BOWL
RCB,Nuwan Thushara,BOWL
RCB,Yash Dayal,BOWL

SRH,Ishan Kishan,WK
SRH,Salil Arora,WK
SRH,Travis Head,BAT
SRH,Heinrich Klaasen,WK
SRH,Ravichandran Smaran,BAT
SRH,Aniket Verma,BAT
SRH,Abhishek Sharma,AR
SRH,Brydon Carse,AR
SRH,Harsh Dubey,AR
SRH,Krains Fuletra,AR
SRH,Liam Livingstone,AR
SRH,Kamindu Mendis,AR
SRH,Nitish Kumar Reddy,AR
SRH,Harshal Patel,AR
SRH,Shivam Mavi,AR
SRH,Shivang Kumar,AR
SRH,Jack Edwards,AR
SRH,Amit Kumar,BOWL
SRH,Pat Cummins,BOWL
SRH,Praful Hinge,BOWL
SRH,Eshan Malinga,BOWL
SRH,Sakib Hussain,BOWL
SRH,Onkar Tarmale,BOWL
SRH,Jaydev Unadkat,BOWL
SRH,Zeeshan Ansari,BOWL
